ctr,tokens,tokens_price,name
1,160,2.08e-05,C:\Root\nimue\data\email\ingest-processed\003b15fb1be0abf8ba68dd3bb69341c0.txt
2,286,3.718e-05,C:\Root\nimue\data\email\ingest-processed\0074d397b4fdf4a9dc9cc9c01d91eddb.txt
3,120,1.5600000000000003e-05,C:\Root\nimue\data\email\ingest-processed\00ad825fbe1996b459a990ac40e4eeb8.txt
4,753,9.789e-05,C:\Root\nimue\data\email\ingest-processed\00f26247b809ee2b64c4a4851e564058.txt
5,936,0.00012168,C:\Root\nimue\data\email\ingest-processed\0156c26ee12a30f38ef87b054570dce6.txt
6,383,4.9789999999999996e-05,C:\Root\nimue\data\email\ingest-processed\016b7e6a0352147f57c9f33efb3cfd3a.txt
7,622,8.086e-05,C:\Root\nimue\data\email\ingest-processed\01e0b948a2141c2f3e71f0212cf4710b.txt
8,160,2.08e-05,C:\Root\nimue\data\email\ingest-processed\022ae4021694a478cbac4d5a36f66ce6.txt
9,891,0.00011583,C:\Root\nimue\data\email\ingest-processed\0265da03f31e8f00f7a86b1d6951a305.txt
10,785,0.00010205,C:\Root\nimue\data\email\ingest-processed\03749dd84388c998baa0bb88c392ebd8.txt
11,75,9.75e-06,C:\Root\nimue\data\email\ingest-processed\03c9853713015d011e2121d2a08a576f.txt
12,361,4.693e-05,C:\Root\nimue\data\email\ingest-processed\042e7e44f0b3b0bc028c3ed6c1ac1e5a.txt
13,153,1.989e-05,C:\Root\nimue\data\email\ingest-processed\0478d09ce965b2d17d0f4bd41988be6e.txt
14,188,2.444e-05,C:\Root\nimue\data\email\ingest-processed\05dc05045e813276c5334d31be7e54ad.txt
15,498,6.474000000000001e-05,C:\Root\nimue\data\email\ingest-processed\06a6942ce18f0957ce4e4041efcb63ee.txt
16,133,1.729e-05,C:\Root\nimue\data\email\ingest-processed\0761f6b885e23d9353386472ca40ee45.txt
17,837,0.00010881,C:\Root\nimue\data\email\ingest-processed\07c8e671fc995d74e681daf13cc63884.txt
18,635,8.255e-05,C:\Root\nimue\data\email\ingest-processed\08a44d4b6aa1e58d3ee9b86ba8bde44c.txt
19,1414,0.00018381999999999998,C:\Root\nimue\data\email\ingest-processed\08c51b6c4fa8ed0269bc83286339b365.txt
20,462,6.0060000000000004e-05,C:\Root\nimue\data\email\ingest-processed\08f303c3b71afa1a5d4845a6992bdca4.txt
21,812,0.00010556,C:\Root\nimue\data\email\ingest-processed\09fa53644390baae9b06e53f982f7879.txt
22,112,1.4560000000000001e-05,C:\Root\nimue\data\email\ingest-processed\0a98f53877421752aec06c90bd801dbd.txt
23,271,3.5230000000000007e-05,C:\Root\nimue\data\email\ingest-processed\0b01e26732c2b6fc4773b53a8db53ddb.txt
