ctr,tokens,tokens_price,name
1,646,8.398e-05,1-4-2024__Alza.cz_ _alza@overenozakazniky.cz__Ohodnoťte Alza.cz na základě vašeho nákupu.txt
2,1071,0.00013923,1-4-2024__Alza.cz_ _sluzebnicek@alza.cz__Připraveno v Alzaboxu _ Obj. č. 504176769.txt
3,573,7.449000000000001e-05,1-4-2024__Fakturoid_ _mesicni@fakturoid.cz__Březen ve Fakturoidu.txt
4,133,1.729e-05,1-4-2024__Google Calendar_ _calendar-notification@google.com__You have no events scheduled today..txt
5,711,9.243000000000001e-05,"1-4-2024__Google Play_ _googleplay-noreply@google.com__Your Google Play Order Receipt from Apr 1, 2024.txt"
6,1662,0.00021606000000000002,1-4-2024__Netflix_ _info@account.netflix.com__A new device is using your account.txt
7,111,1.4429999999999999e-05,1-4-2024__Svalbard_ _dalibor.hlava@gmail.com__[svalbard] Monthly Drive Health Report on ue-svalbard - Healthy.txt
8,1605,0.00020865,"1-4-2024__Techmeme_ _newsletter@techmeme.com__AT&T leak impacts millions, Microsoft engineer discovered XZ Utils backdoor.txt"
9,79,1.027e-05,1-4-2024_dalibor.hlava@gmail.com_[master] [✅ Up].txt
10,504,6.552e-05,1-5-2024__Air Bank_ _info@airbank.cz__Snížení zůstatku na účtu Lovenest.txt
11,523,6.799e-05,1-5-2024__Air Bank_ _info@airbank.cz__Zvýšení zůstatku na účtu Lovenest.txt
12,509,6.617e-05,1-5-2024__Air Bank_ _info@airbank.cz__Zvýšení zůstatku na účtu Lovenest_2659.txt
13,171,2.223e-05,1-5-2024__Alena Hlavova (via Google Drive)_ _drive-shares-dm-noreply@google.com__Share request for _cestne prohlaseni o prijmu 22036 (v6) AP R_copy.pdf_.txt
14,1402,0.00018226,1-5-2024__Allegro_ _notifikace@allegro.cz__Koupil jste a zaplatil za_  mentolové krystaly BASSAU 50g + 1 další produkt od prodejce saunyonline_pl..txt
15,790,0.0001027,1-5-2024__Alza.cz_ _sluzebnicek@alza.cz__Objednávku jsme naplánovali k rozvozu _ Obj. č. 506454757.txt
